,PALIKA,District,Province,Full_Name,Longitude,Latitude
191,Sabaila Nagarpalika,DHANUSHA,2,"Sabaila Nagarpalika, DHANUSHA",86.1023002802007,26.798799160660717
192,Sahidnagar Nagarpalika,DHANUSHA,2,"Sahidnagar Nagarpalika, DHANUSHA",86.10684081501142,26.735078748402476
193,Aurahi Nagarpalika,MAHOTTARI,2,"Aurahi Nagarpalika, MAHOTTARI",85.80074409191909,26.865964865282237
194,Balwa Nagarpalika,MAHOTTARI,2,"Balwa Nagarpalika, MAHOTTARI",85.8194811066334,26.76853719727175
195,Bardibas Nagarpalika,MAHOTTARI,2,"Bardibas Nagarpalika, MAHOTTARI",85.85534241754493,27.036061768200923
196,Bhangaha Nagarpalika,MAHOTTARI,2,"Bhangaha Nagarpalika, MAHOTTARI",85.8721348995328,26.84942853279054
197,Ekdanra Gaunpalika,MAHOTTARI,2,"Ekdanra Gaunpalika, MAHOTTARI",85.7650270639101,26.68746312373656
198,Gaushala Nagarpalika,MAHOTTARI,2,"Gaushala Nagarpalika, MAHOTTARI",85.7815943483956,26.949544109379303
199,Jaleswor Nagarpalika,MAHOTTARI,2,"Jaleswor Nagarpalika, MAHOTTARI",85.79962664814045,26.646709917775112
200,Loharpatti Nagarpalika,MAHOTTARI,2,"Loharpatti Nagarpalika, MAHOTTARI",85.86511745027967,26.76959483650845
201,Mahottari Gaunpalika,MAHOTTARI,2,"Mahottari Gaunpalika, MAHOTTARI",85.81176561308524,26.70349454934658
202,Manra Siswa Nagarpalika,MAHOTTARI,2,"Manra Siswa Nagarpalika, MAHOTTARI",85.75339161828744,26.724769987204194
203,Matihani Nagarpalika,MAHOTTARI,2,"Matihani Nagarpalika, MAHOTTARI",85.85989304524632,26.64282941819827
204,Pipra Gaunpalika,MAHOTTARI,2,"Pipra Gaunpalika, MAHOTTARI",85.86845813210954,26.69445418648412
205,Ramgopalpur Nagarpalika,MAHOTTARI,2,"Ramgopalpur Nagarpalika, MAHOTTARI",85.78361611102287,26.810063452825382
206,Samsi Gaunpalika,MAHOTTARI,2,"Samsi Gaunpalika, MAHOTTARI",85.7478853226957,26.805804971649604
207,Sonama Gaunpalika,MAHOTTARI,2,"Sonama Gaunpalika, MAHOTTARI",85.72299789759283,26.86700354686678
208,Bagmati Nagarpalika,SARLAHI,2,"Bagmati Nagarpalika, SARLAHI",85.47724339470338,27.077737093609947
209,Balara Nagarpalika,SARLAHI,2,"Balara Nagarpalika, SARLAHI",85.36873145911235,26.795306907623658
210,Barahathawa Nagarpalika,SARLAHI,2,"Barahathawa Nagarpalika, SARLAHI",85.4538020758805,26.9817961462055
211,Basbariya Gaunpalika,SARLAHI,2,"Basbariya Gaunpalika, SARLAHI",85.43937465131971,26.926056095413077
212,Bishnu Gaunpalika,SARLAHI,2,"Bishnu Gaunpalika, SARLAHI",85.4726939765918,26.81544921200346
213,Bramhapuri Gaunpalika,SARLAHI,2,"Bramhapuri Gaunpalika, SARLAHI",85.60990547155654,26.890267726931913
214,Chakraghatta Gaunpalika,SARLAHI,2,"Chakraghatta Gaunpalika, SARLAHI",85.50982774222119,26.899993120095022
215,Chandranagar Gaunpalika,SARLAHI,2,"Chandranagar Gaunpalika, SARLAHI",85.60054713956988,26.937547024523536
216,Dhankaul Gaunpalika,SARLAHI,2,"Dhankaul Gaunpalika, SARLAHI",85.40925418325808,26.883077785431677
217,Godaita Nagarpalika,SARLAHI,2,"Godaita Nagarpalika, SARLAHI",85.44567024226158,26.844414821914064
218,Haripur Nagarpalika,SARLAHI,2,"Haripur Nagarpalika, SARLAHI",85.54846832160565,27.011273406058475
219,Haripurwa Nagarpalika,SARLAHI,2,"Haripurwa Nagarpalika, SARLAHI",85.68691408594863,26.91471570046925
220,Hariwan Nagarpalika,SARLAHI,2,"Hariwan Nagarpalika, SARLAHI",85.5742448163752,27.10064150011748
221,Ishworpur Nagarpalika,SARLAHI,2,"Ishworpur Nagarpalika, SARLAHI",85.69394436092047,27.00935086990593
222,Kabilasi Nagarpalika,SARLAHI,2,"Kabilasi Nagarpalika, SARLAHI",85.53686748260009,26.941122897010597
223,Kaudena Gaunpalika,SARLAHI,2,"Kaudena Gaunpalika, SARLAHI",85.50729032310427,26.858788830249004
224,Lalbandi Nagarpalika,SARLAHI,2,"Lalbandi Nagarpalika, SARLAHI",85.68904014414724,27.102908562213816
225,Malangawa Nagarpalika,SARLAHI,2,"Malangawa Nagarpalika, SARLAHI",85.54787157619769,26.85880999640889
226,Parsa Gaunpalika,SARLAHI,2,"Parsa Gaunpalika, SARLAHI",85.65388242731395,26.87371430071847
227,Ramnagar Gaunpalika,SARLAHI,2,"Ramnagar Gaunpalika, SARLAHI",85.38160664030646,26.838188597255954
228,Dudhouli Nagarpalika,SINDHULI,3,"Dudhouli Nagarpalika, SINDHULI",86.23876082265076,27.03262850837361
229,Ghanglekh Gaunpalika,SINDHULI,3,"Ghanglekh Gaunpalika, SINDHULI",85.78627721772051,27.34339164359219
230,Golanjor Gaunpalika,SINDHULI,3,"Golanjor Gaunpalika, SINDHULI",86.06759680334893,27.252220688892645
231,Hariharpurgadhi Gaunpalika,SINDHULI,3,"Hariharpurgadhi Gaunpalika, SINDHULI",85.54107741287123,27.251675803991596
232,Kamalamai Nagarpalika,SINDHULI,3,"Kamalamai Nagarpalika, SINDHULI",85.93063021083103,27.187845631466026
233,Marin Gaunpalika,SINDHULI,3,"Marin Gaunpalika, SINDHULI",85.69732685188112,27.255397992772345
234,Phikkal Gaunpalika,SINDHULI,3,"Phikkal Gaunpalika, SINDHULI",86.28613998528562,27.18698096744044
235,Sunkoshi Gaunpalika,SINDHULI,3,"Sunkoshi Gaunpalika, SINDHULI",85.88149960864118,27.3796760876252
236,Tinpatan Gaunpalika,SINDHULI,3,"Tinpatan Gaunpalika, SINDHULI",86.13218735377293,27.133885275149474
237,Doramba Gaunpalika,RAMECHHAP,3,"Doramba Gaunpalika, RAMECHHAP",85.9212041198013,27.54942028003481
238,Gokulganga Gaunpalika,RAMECHHAP,3,"Gokulganga Gaunpalika, RAMECHHAP",86.26427947428674,27.57639768484465
239,Khadadevi Gaunpalika,RAMECHHAP,3,"Khadadevi Gaunpalika, RAMECHHAP",85.94304798748983,27.43821222128708
240,Likhu Tamakoshi Gaunpalika,RAMECHHAP,3,"Likhu Tamakoshi Gaunpalika, RAMECHHAP",86.18327463361327,27.439344178198265
241,Manthali Nagarpalika,RAMECHHAP,3,"Manthali Nagarpalika, RAMECHHAP",86.06437291002645,27.4088126314304
242,Ramechhap Nagarpalika,RAMECHHAP,3,"Ramechhap Nagarpalika, RAMECHHAP",86.14646934983271,27.31615919238603
243,Sunapati Gaunpalika,RAMECHHAP,3,"Sunapati Gaunpalika, RAMECHHAP",85.85587234261853,27.49575838973422
244,Umakunda Gaunpalika,RAMECHHAP,3,"Umakunda Gaunpalika, RAMECHHAP",86.42243288685957,27.66096989555344
245,Baiteshwor Gaunpalika,DOLAKHA,3,"Baiteshwor Gaunpalika, DOLAKHA",86.12823121933785,27.63436273732516
246,Bhimeshwor Nagarpalika,DOLAKHA,3,"Bhimeshwor Nagarpalika, DOLAKHA",86.01806083631928,27.687083547999144
247,Bigu Gaunpalika,DOLAKHA,3,"Bigu Gaunpalika, DOLAKHA",86.1587175829985,27.935636983617126
248,Gaurishankar Gaunpalika,DOLAKHA,3,"Gaurishankar Gaunpalika, DOLAKHA",86.34343328738771,27.823557633034874
249,Jiri Nagarpalika,DOLAKHA,3,"Jiri Nagarpalika, DOLAKHA",86.28309064186539,27.663564401190122
250,Kalinchok Gaunpalika,DOLAKHA,3,"Kalinchok Gaunpalika, DOLAKHA",86.08848701024237,27.749750036170063
251,Melung Gaunpalika,DOLAKHA,3,"Melung Gaunpalika, DOLAKHA",86.04342321285694,27.54425291452662
252,Sailung Gaunpalika,DOLAKHA,3,"Sailung Gaunpalika, DOLAKHA",85.97946165218423,27.61811145760208
253,Tamakoshi Gaunpalika,DOLAKHA,3,"Tamakoshi Gaunpalika, DOLAKHA",86.12174807877311,27.545613180117275
254,Balefi Gaunpalika,SINDHUPALCHOK,3,"Balefi Gaunpalika, SINDHUPALCHOK",85.80359914733752,27.78123334033607
255,Barhabise Nagarpalika,SINDHUPALCHOK,3,"Barhabise Nagarpalika, SINDHUPALCHOK",85.90010912895596,27.82177247881243
256,Bhotekoshi Gaunpalika,SINDHUPALCHOK,3,"Bhotekoshi Gaunpalika, SINDHUPALCHOK",85.93622448197968,27.918085332003443
257,Chautara SangachokGadhi Nagarpalika,SINDHUPALCHOK,3,"Chautara SangachokGadhi Nagarpalika, SINDHUPALCHOK",85.71978147602468,27.757954074015938
258,Helambu Gaunpalika,SINDHUPALCHOK,3,"Helambu Gaunpalika, SINDHUPALCHOK",85.52816926890235,28.00049305031663
259,Indrawati Gaunpalika,SINDHUPALCHOK,3,"Indrawati Gaunpalika, SINDHUPALCHOK",85.63899467205596,27.783960646997464
260,Jugal Gaunpalika,SINDHUPALCHOK,3,"Jugal Gaunpalika, SINDHUPALCHOK",85.79108507480882,28.01549022064833
261,Lisangkhu Pakhar Gaunpalika,SINDHUPALCHOK,3,"Lisangkhu Pakhar Gaunpalika, SINDHUPALCHOK",85.87576875948119,27.673695009191768
262,Melamchi Nagarpalika,SINDHUPALCHOK,3,"Melamchi Nagarpalika, SINDHUPALCHOK",85.54086094513328,27.826496736989192
263,Panchpokhari Thangpal Gaunpalika,SINDHUPALCHOK,3,"Panchpokhari Thangpal Gaunpalika, SINDHUPALCHOK",85.64347922708575,28.01360488590566
264,Sunkoshi Gaunpalika,SINDHUPALCHOK,3,"Sunkoshi Gaunpalika, SINDHUPALCHOK",85.80692945438561,27.70952644870907
265,Tripurasundari Gaunpalika,SINDHUPALCHOK,3,"Tripurasundari Gaunpalika, SINDHUPALCHOK",85.9452942638178,27.752879260429054
266,Banepa Nagarpalika,KABHREPALANCHOK,3,"Banepa Nagarpalika, KABHREPALANCHOK",85.5136159354666,27.648341425373708
267,Bethanchowk Gaunpalika,KABHREPALANCHOK,3,"Bethanchowk Gaunpalika, KABHREPALANCHOK",85.49598878460864,27.507034495301358
268,Bhumlu Gaunpalika,KABHREPALANCHOK,3,"Bhumlu Gaunpalika, KABHREPALANCHOK",85.74575178047189,27.63632207450936
269,Chaurideurali Gaunpalika,KABHREPALANCHOK,3,"Chaurideurali Gaunpalika, KABHREPALANCHOK",85.80512721921365,27.580810884280158
270,Dhulikhel Nagarpalika,KABHREPALANCHOK,3,"Dhulikhel Nagarpalika, KABHREPALANCHOK",85.57227898142385,27.617968031795083
271,Khanikhola Gaunpalika,KABHREPALANCHOK,3,"Khanikhola Gaunpalika, KABHREPALANCHOK",85.49675386464777,27.428756877489587
272,Mahabharat Gaunpalika,KABHREPALANCHOK,3,"Mahabharat Gaunpalika, KABHREPALANCHOK",85.62166937795666,27.39239584503363
273,Mandandeupur Nagarpalika,KABHREPALANCHOK,3,"Mandandeupur Nagarpalika, KABHREPALANCHOK",85.59866845486182,27.710221905138358
274,Namobuddha Nagarpalika,KABHREPALANCHOK,3,"Namobuddha Nagarpalika, KABHREPALANCHOK",85.63978934635614,27.55322511571314
275,Panauti Nagarpalika,KABHREPALANCHOK,3,"Panauti Nagarpalika, KABHREPALANCHOK",85.47827187749238,27.577256663809365
276,Panchkhal Nagarpalika,KABHREPALANCHOK,3,"Panchkhal Nagarpalika, KABHREPALANCHOK",85.63862387511877,27.636981508620764
277,Roshi Gaunpalika,KABHREPALANCHOK,3,"Roshi Gaunpalika, KABHREPALANCHOK",85.67118523050581,27.470431564881252
278,Temal Gaunpalika,KABHREPALANCHOK,3,"Temal Gaunpalika, KABHREPALANCHOK",85.75713436614224,27.509665616796035
279,Bagmati Gaunpalika,LALITPUR,3,"Bagmati Gaunpalika, LALITPUR",85.30411283852636,27.484318805482186
280,Godawari Nagarpalika,LALITPUR,3,"Godawari Nagarpalika, LALITPUR",85.33558222850648,27.584560893611876
281,Konjyosom Gaunpalika,LALITPUR,3,"Konjyosom Gaunpalika, LALITPUR",85.35024096329188,27.530474358048192
282,Lalitpur Mahanagarpalika,LALITPUR,3,"Lalitpur Mahanagarpalika, LALITPUR",85.31574657269933,27.65059945503801
283,Mahalaxmi Nagarpalika,LALITPUR,3,"Mahalaxmi Nagarpalika, LALITPUR",85.38023575839851,27.635086978757144
284,Mahankal Gaunpalika,LALITPUR,3,"Mahankal Gaunpalika, LALITPUR",85.39884140586203,27.487752342197673
285,Bhaktapur Nagarpalika,BHAKTAPUR,3,"Bhaktapur Nagarpalika, BHAKTAPUR",85.42961727472849,27.675017765952255
286,Changunarayan Nagarpalika,BHAKTAPUR,3,"Changunarayan Nagarpalika, BHAKTAPUR",85.46272783460991,27.696268407446233
287,Madhyapur Thimi Nagarpalika,BHAKTAPUR,3,"Madhyapur Thimi Nagarpalika, BHAKTAPUR",85.3815368922604,27.68250839610544
288,Suryabinayak Nagarpalika,BHAKTAPUR,3,"Suryabinayak Nagarpalika, BHAKTAPUR",85.42546525137541,27.649272759398524
289,Budhanilakantha Nagarpalika,KATHMANDU,3,"Budhanilakantha Nagarpalika, KATHMANDU",85.36228522216304,27.77230608719983
290,Chandragiri Nagarpalika,KATHMANDU,3,"Chandragiri Nagarpalika, KATHMANDU",85.22955137432947,27.68688537932627
291,Dakshinkali Nagarpalika,KATHMANDU,3,"Dakshinkali Nagarpalika, KATHMANDU",85.2611387028637,27.616216866895083
292,Gokarneshwor Nagarpalika,KATHMANDU,3,"Gokarneshwor Nagarpalika, KATHMANDU",85.4139702034434,27.77394252937581
293,Kageshwori Manahora Nagarpalika,KATHMANDU,3,"Kageshwori Manahora Nagarpalika, KATHMANDU",85.41926836964892,27.735163344689745
294,Kathmandu Mahanagarpalika,KATHMANDU,3,"Kathmandu Mahanagarpalika, KATHMANDU",85.32727724900433,27.70902343242837
295,Kirtipur Nagarpalika,KATHMANDU,3,"Kirtipur Nagarpalika, KATHMANDU",85.27515324368537,27.666789957060622
296,Nagarjun Nagarpalika,KATHMANDU,3,"Nagarjun Nagarpalika, KATHMANDU",85.26139008784662,27.727294129254897
297,Shankharapur Nagarpalika,KATHMANDU,3,"Shankharapur Nagarpalika, KATHMANDU",85.49904538540555,27.75356201307565
298,Tarakeshwor Nagarpalika,KATHMANDU,3,"Tarakeshwor Nagarpalika, KATHMANDU",85.29706174533945,27.777744577248026
299,Tokha Nagarpalika,KATHMANDU,3,"Tokha Nagarpalika, KATHMANDU",85.33021381622285,27.775398959165827
300,Belkotgadhi Nagarpalika,NUWAKOT,3,"Belkotgadhi Nagarpalika, NUWAKOT",85.12286518944715,27.8249686912467
301,Bidur Nagarpalika,NUWAKOT,3,"Bidur Nagarpalika, NUWAKOT",85.13607411895133,27.925868921482977
302,Dupcheshwar Gaunpalika,NUWAKOT,3,"Dupcheshwar Gaunpalika, NUWAKOT",85.42628610767233,27.938025951866397
303,Kakani Gaunpalika,NUWAKOT,3,"Kakani Gaunpalika, NUWAKOT",85.23120013970583,27.81848259785385
304,Kispang Gaunpalika,NUWAKOT,3,"Kispang Gaunpalika, NUWAKOT",85.12538762877332,28.031660376011047
305,Likhu Gaunpalika,NUWAKOT,3,"Likhu Gaunpalika, NUWAKOT",85.224255622009,27.8929875517083
306,Myagang Gaunpalika,NUWAKOT,3,"Myagang Gaunpalika, NUWAKOT",85.05630066640893,27.98860546740734
307,Panchakanya Gaunpalika,NUWAKOT,3,"Panchakanya Gaunpalika, NUWAKOT",85.31475530662642,27.894080525397385
308,Shivapuri Gaunpalika,NUWAKOT,3,"Shivapuri Gaunpalika, NUWAKOT",85.37499568686069,27.85264821258166
309,Suryagadhi Gaunpalika,NUWAKOT,3,"Suryagadhi Gaunpalika, NUWAKOT",85.2525988832574,27.945382680844308
310,Tadi Gaunpalika,NUWAKOT,3,"Tadi Gaunpalika, NUWAKOT",85.32970153154605,27.95621809516482
311,Tarkeshwar Gaunpalika,NUWAKOT,3,"Tarkeshwar Gaunpalika, NUWAKOT",85.0392649595632,27.889666800484708
312,Shivapuri Watershed and Wildlife Reserve,NUWAKOT,3,"Shivapuri Watershed and Wildlife Reserve, NUWAKOT",85.36537795900513,27.818620150147343
313,Langtang National Park,NUWAKOT,3,"Langtang National Park, NUWAKOT",85.4386688802243,28.02347742464096
314,Gosaikunda Gaunpalika,RASUWA,3,"Gosaikunda Gaunpalika, RASUWA",85.50734351472948,28.212285524002496
315,Kalika Gaunpalika,RASUWA,3,"Kalika Gaunpalika, RASUWA",85.22204152175689,28.027185965968506
316,Naukunda Gaunpalika,RASUWA,3,"Naukunda Gaunpalika, RASUWA",85.30467460989631,28.02513634920398
317,Aamachodingmo Gaunpalika,RASUWA,3,"Aamachodingmo Gaunpalika, RASUWA",85.25092238126892,28.215507461730834
318,Uttargaya Gaunpalika,RASUWA,3,"Uttargaya Gaunpalika, RASUWA",85.18393600851056,28.087388375242938
319,Benighat Rorang Gaunpalika,DHADING,3,"Benighat Rorang Gaunpalika, DHADING",84.76647590463854,27.756397930671167
320,Dhunibesi Nagarpalika,DHADING,3,"Dhunibesi Nagarpalika, DHADING",85.17982428303463,27.729715266773788
321,Gajuri Gaunpalika,DHADING,3,"Gajuri Gaunpalika, DHADING",84.90321102847692,27.749569176438822
322,Galchi Gaunpalika,DHADING,3,"Galchi Gaunpalika, DHADING",84.98763539770918,27.79296733420372
323,Gangajamuna Gaunpalika,DHADING,3,"Gangajamuna Gaunpalika, DHADING",84.92984285937851,28.086444378370352
324,Jwalamukhi Gaunpalika,DHADING,3,"Jwalamukhi Gaunpalika, DHADING",84.79193693733883,27.92340345910128
325,Khaniyabash Gaunpalika,DHADING,3,"Khaniyabash Gaunpalika, DHADING",85.04256547911432,28.082336060937397
326,Netrawati Dabjong Gaunpalika,DHADING,3,"Netrawati Dabjong Gaunpalika, DHADING",84.97160241248125,27.986687650304678
327,Nilakantha Nagarpalika,DHADING,3,"Nilakantha Nagarpalika, DHADING",84.91955331597676,27.918863100049094
328,Rubi Valley Gaunpalika,DHADING,3,"Rubi Valley Gaunpalika, DHADING",85.09120210786973,28.222137470137863
329,Siddhalek Gaunpalika,DHADING,3,"Siddhalek Gaunpalika, DHADING",84.84535325342145,27.842558626376388
330,Thakre Gaunpalika,DHADING,3,"Thakre Gaunpalika, DHADING",85.06455044891088,27.73830550752131
331,Tripura Sundari Gaunpalika,DHADING,3,"Tripura Sundari Gaunpalika, DHADING",84.85804032066869,28.021805855252254
332,Bagmati Gaunpalika,MAKAWANPUR,3,"Bagmati Gaunpalika, MAKAWANPUR",85.39789874073325,27.304811006008144
333,Bakaiya Gaunpalika,MAKAWANPUR,3,"Bakaiya Gaunpalika, MAKAWANPUR",85.2528161597661,27.33247487325619
334,Bhimphedi Gaunpalika,MAKAWANPUR,3,"Bhimphedi Gaunpalika, MAKAWANPUR",85.10444284410414,27.527813825200386
335,Hetauda Upamahanagarpalika,MAKAWANPUR,3,"Hetauda Upamahanagarpalika, MAKAWANPUR",85.02721872271898,27.41592885306771
336,Indrasarowar Gaunpalika,MAKAWANPUR,3,"Indrasarowar Gaunpalika, MAKAWANPUR",85.1959534849471,27.593619845278994
337,Kailash Gaunpalika,MAKAWANPUR,3,"Kailash Gaunpalika, MAKAWANPUR",84.94931669133737,27.60952458704195
338,Makawanpurgadhi Gaunpalika,MAKAWANPUR,3,"Makawanpurgadhi Gaunpalika, MAKAWANPUR",85.13690832894625,27.445252603571547
339,Manahari Gaunpalika,MAKAWANPUR,3,"Manahari Gaunpalika, MAKAWANPUR",84.85137628634531,27.472569561221277
340,Raksirang Gaunpalika,MAKAWANPUR,3,"Raksirang Gaunpalika, MAKAWANPUR",84.83791405147413,27.5986734682027
341,Thaha Nagarpalika,MAKAWANPUR,3,"Thaha Nagarpalika, MAKAWANPUR",85.08608485975692,27.65156287441824
342,Parsa Wildlife Reserve,MAKAWANPUR,3,"Parsa Wildlife Reserve, MAKAWANPUR",84.7713050814354,27.495228785817126
343,Chitawan National Park,MAKAWANPUR,3,"Chitawan National Park, MAKAWANPUR",84.7062475762948,27.49261953647587
344,Baudhimai Nagarpalika,RAUTAHAT,2,"Baudhimai Nagarpalika, RAUTAHAT",85.21873090698146,26.890571833701657
345,Brindaban Nagarpalika,RAUTAHAT,2,"Brindaban Nagarpalika, RAUTAHAT",85.37353985175965,27.041323502532524
346,Chandrapur Nagarpalika,RAUTAHAT,2,"Chandrapur Nagarpalika, RAUTAHAT",85.36820118270585,27.138918539227138
347,Dewahhi Gonahi Nagarpalika,RAUTAHAT,2,"Dewahhi Gonahi Nagarpalika, RAUTAHAT",85.25920682199803,26.932042003275495
348,Durga Bhagwati Gaunpalika,RAUTAHAT,2,"Durga Bhagwati Gaunpalika, RAUTAHAT",85.32252184999537,26.83836669840033
349,Gadhimai Nagarpalika,RAUTAHAT,2,"Gadhimai Nagarpalika, RAUTAHAT",85.36778059342548,26.94231034203531
350,Garuda Nagarpalika,RAUTAHAT,2,"Garuda Nagarpalika, RAUTAHAT",85.3165078944719,26.953842477594925
351,Gaur Nagarpalika,RAUTAHAT,2,"Gaur Nagarpalika, RAUTAHAT",85.2747702185934,26.778214138081317
352,Gujara Nagarpalika,RAUTAHAT,2,"Gujara Nagarpalika, RAUTAHAT",85.26957759978043,27.104939430722634
353,Ishanath Nagarpalika,RAUTAHAT,2,"Ishanath Nagarpalika, RAUTAHAT",85.21340813502626,26.793456751228454
354,Katahariya Nagarpalika,RAUTAHAT,2,"Katahariya Nagarpalika, RAUTAHAT",85.2501799184933,26.995648061628657
355,Madhav Narayan Nagarpalika,RAUTAHAT,2,"Madhav Narayan Nagarpalika, RAUTAHAT",85.32943627301763,26.890934278115115
356,Maulapur Nagarpalika,RAUTAHAT,2,"Maulapur Nagarpalika, RAUTAHAT",85.2012431337517,26.929775648885474
357,Paroha Nagarpalika,RAUTAHAT,2,"Paroha Nagarpalika, RAUTAHAT",85.23482328308032,26.854800541804998
358,Phatuwa Bijayapur Nagarpalika,RAUTAHAT,2,"Phatuwa Bijayapur Nagarpalika, RAUTAHAT",85.20344867321685,27.0203813392297
359,Rajdevi Nagarpalika,RAUTAHAT,2,"Rajdevi Nagarpalika, RAUTAHAT",85.31520973371765,26.77783527252365
360,Rajpur Nagarpalika,RAUTAHAT,2,"Rajpur Nagarpalika, RAUTAHAT",85.25587224923471,26.816948141295168
361,Yemunamai Gaunpalika,RAUTAHAT,2,"Yemunamai Gaunpalika, RAUTAHAT",85.2968362694018,26.845565826314772
362,Adarshkotwal Gaunpalika,BARA,2,"Adarshkotwal Gaunpalika, BARA",85.14195400617076,26.944877000567242
363,Baragadhi Gaunpalika,BARA,2,"Baragadhi Gaunpalika, BARA",85.13617465976378,26.996558480165486
364,Bishrampur Gaunpalika,BARA,2,"Bishrampur Gaunpalika, BARA",84.90793399073075,26.987535594374098
365,Devtal Gaunpalika,BARA,2,"Devtal Gaunpalika, BARA",85.00474100723585,26.94375979136185
366,Jitpur Simara Upamahanagarpalika,BARA,2,"Jitpur Simara Upamahanagarpalika, BARA",85.00847428450143,27.20059459084905
367,Kalaiya Upamahanagarpalika,BARA,2,"Kalaiya Upamahanagarpalika, BARA",85.00937157272118,27.028954330438477
368,Karaiyamai Gaunpalika,BARA,2,"Karaiyamai Gaunpalika, BARA",85.09638463559027,27.036951003221944
369,Kolhabi Nagarpalika,BARA,2,"Kolhabi Nagarpalika, BARA",85.14550122387907,27.104202763113722
370,Mahagadhimai Nagarpalika,BARA,2,"Mahagadhimai Nagarpalika, BARA",85.0578245213977,26.982510404335326
371,Nijgadh Nagarpalika,BARA,2,"Nijgadh Nagarpalika, BARA",85.13738520120802,27.23433573636677
372,Pacharauta Nagarpalika,BARA,2,"Pacharauta Nagarpalika, BARA",85.07525326110219,26.895962981961937
373,Parwanipur Gaunpalika,BARA,2,"Parwanipur Gaunpalika, BARA",84.931223802656,27.056377058731005
374,Pheta Gaunpalika,BARA,2,"Pheta Gaunpalika, BARA",84.94337373142996,27.000265400218453
375,Prasauni Gaunpalika,BARA,2,"Prasauni Gaunpalika, BARA",84.95287987352435,27.047362163475825
376,Simraungadh Nagarpalika,BARA,2,"Simraungadh Nagarpalika, BARA",85.13553367539704,26.89608856469863
377,Suwarna Gaunpalika,BARA,2,"Suwarna Gaunpalika, BARA",85.03935265969615,26.9185003327787
378,Parsa Wildlife Reserve,BARA,2,"Parsa Wildlife Reserve, BARA",84.96946558737724,27.27503931742481
379,Bahudaramai Nagarpalika,PARSA,2,"Bahudaramai Nagarpalika, PARSA",84.82733941192697,27.08292512978389
380,Bindabasini Gaunpalika,PARSA,2,"Bindabasini Gaunpalika, PARSA",84.79419459257204,27.035710720719152
