cities,Baglung,Baitadi,Barhabise,Bhairahawa,Biratnagar,Birendranagar,Birganj,Butwal,Chandragadhi,Chautara,Dailekh,Dhangadhi,Dhankuta,Dharan,Dhulikhel,Dhunche,Dipayal,Gaighat,Gorkha,Hetauda,Ilam,Janakpur,Jiri,Kakarbhitta,Kathmandu,Krishnanagar,Mahendranagar,Narayanghat,Nepalgunj,Pokhara,Rajbiraj,Salyan,Sindhuli,Tansen,Taplejung,Terhathum,Trishuli Bazar,Tulsipur
Baglung,0,893,454,334,604,630,331,312,679,353,660,705,650,600,303,388,871,507,181,276,740,433,480,673,271,389,739,199,554,73,511,558,442,199,890,709,341,496
Baitadi,893,0,820,924,603,1099,445,826,581,1174,920,475,218,1145,1095,870,955,150,1000,762,771,1235,928,1050,1168,544,252,694,369,820,1006,519,937,620,1385,1228,908,457
Barhabise,454,820,0,354,660,686,387,368,735,79,731,761,730,656,79,228,927,563,251,332,796,489,118,729,111,445,795,255,610,309,567,614,498,407,946,765,181,552
Bhairahawa,334,924,354,0,540,340,267,22,615,361,370,415,586,536,311,396,581,443,203,212,676,369,488,609,279,99,449,135,264,261,447,268,378,61,843,645,349,206
Biratnagar,604,603,660,540,0,851,325,518,123,631,866,911,94,44,200,666,1077,153,473,328,184,209,758,117,549,595,945,405,760,531,89,764,238,557,334,153,619,702
Birendranagar,630,1099,686,340,851,0,472,318,911,657,94,257,882,832,607,692,423,739,499,508,972,665,784,905,575,281,291,431,106,557,743,256,674,357,1122,941,645,194
Birganj,331,445,387,267,325,472,0,245,400,358,593,638,371,321,308,393,804,228,200,55,461,154,385,394,276,322,672,132,487,258,232,491,163,284,611,430,346,429
Butwal,312,826,368,22,518,318,245,0,593,339,348,393,564,514,289,374,559,421,181,190,654,347,466,587,257,77,427,113,242,239,425,246,356,39,804,623,327,184
Chandragadhi,679,581,735,615,123,911,400,593,0,706,941,986,162,112,656,741,1152,228,541,403,95,284,833,28,624,670,1020,480,835,606,166,839,313,632,245,228,694,777
Chautara,353,1174,79,361,631,657,358,339,706,0,687,732,677,627,50,199,898,534,222,303,767,460,152,700,82,416,766,226,581,280,538,585,469,378,917,736,152,523
Dailekh,660,920,731,370,866,94,593,348,941,687,0,287,912,862,637,382,453,769,522,538,1002,695,814,935,605,311,321,461,136,587,773,286,704,387,1152,971,675,224
Dhangadhi,705,475,761,415,911,257,638,393,986,732,287,0,957,907,682,767,196,814,574,583,1047,740,859,980,650,356,64,506,181,632,818,331,749,432,1197,1016,720,269
Dhankuta,650,218,730,586,94,882,371,564,162,677,912,957,0,50,627,712,1123,199,519,374,230,255,804,163,595,641,991,451,806,577,137,810,284,603,380,59,665,748
Dharan,600,1145,656,536,44,832,321,514,112,627,862,907,50,0,577,662,1073,149,469,324,180,205,754,113,545,591,941,401,756,527,87,760,234,553,330,109,615,698
Dhulikhel,303,1095,79,311,200,607,308,289,656,50,637,682,627,577,0,149,848,484,172,253,717,410,177,650,32,366,716,176,531,230,488,473,419,328,717,686,102,473
Dhunche,388,870,228,396,666,692,393,374,741,199,382,767,712,662,149,0,933,569,257,338,802,495,326,735,117,451,801,261,616,315,573,558,504,413,952,771,47,558
Dipayal,871,955,927,581,1077,423,804,559,1152,898,453,196,1123,1073,848,933,0,980,740,749,1213,906,1025,1146,816,522,230,672,347,798,984,497,915,598,1363,1182,886,435
Gaighat,507,150,563,443,153,739,228,421,228,534,769,814,199,149,484,569,980,0,376,231,289,112,661,222,452,498,848,308,663,434,60,667,141,460,439,258,522,605
Gorkha,181,1000,251,203,473,499,200,181,541,222,522,574,519,469,172,257,740,376,0,145,609,302,349,542,140,258,608,68,423,108,380,427,311,220,759,578,210,365
Hetauda,276,762,332,212,328,508,55,190,403,303,538,583,374,324,253,338,749,231,145,0,464,157,430,397,221,267,617,77,432,203,235,436,166,229,614,433,291,374
Ilam,740,771,796,676,184,972,461,654,95,767,1002,1047,230,180,717,802,1213,289,609,464,0,345,894,89,685,731,1081,541,896,667,227,900,374,580,150,289,755,838
Janakpur,433,1235,489,369,209,665,154,347,284,460,695,740,255,205,410,495,906,112,302,157,345,0,487,278,378,424,774,234,589,360,116,593,67,386,495,314,448,531
Jiri,480,928,118,488,758,784,385,466,833,152,814,859,804,754,177,326,1025,661,349,430,894,487,0,827,176,543,893,353,708,417,665,712,596,505,1044,863,279,650
Kakarbhitta,673,1050,729,609,117,905,394,587,28,700,935,980,163,113,650,735,1146,222,542,397,89,278,827,0,618,664,1014,474,829,600,160,833,307,626,239,222,688,771
Kathmandu,271,1168,111,279,549,575,276,257,624,82,605,650,595,545,32,117,816,452,140,221,685,378,176,618,0,334,684,144,499,198,456,503,387,296,835,654,70,441
Krishnanagar,389,544,445,99,595,281,322,77,670,416,311,356,641,591,366,451,522,498,258,267,731,424,543,664,334,0,390,190,205,316,502,209,433,116,881,700,404,147
Mahendranagar,739,252,795,449,945,291,672,427,1020,766,321,64,991,941,716,801,230,848,608,617,1081,774,893,1014,684,390,0,540,215,666,852,365,783,466,1231,1050,754,303
Narayanghat,199,694,255,135,405,431,132,113,480,226,461,506,451,401,176,261,672,308,68,77,541,234,353,474,144,190,540,0,355,126,312,359,243,152,691,510,214,297
Nepalgunj,554,369,610,264,760,106,487,242,835,581,136,181,806,756,531,616,347,663,423,432,896,589,708,829,499,205,215,355,0,481,667,180,598,281,1046,865,569,118
Pokhara,73,820,309,261,531,557,258,239,606,280,587,632,577,527,230,315,798,434,108,203,667,360,417,600,198,316,666,126,481,0,427,485,369,126,817,636,268,423
Rajbiraj,511,1006,567,447,89,743,232,425,166,538,773,818,137,87,488,573,984,60,380,235,227,116,665,160,456,502,852,312,667,427,0,671,145,464,377,196,526,609
Salyan,558,519,614,268,764,256,491,246,839,585,286,331,810,760,473,558,497,667,427,436,900,593,712,833,503,209,365,359,180,485,671,0,602,285,1050,869,573,62
Sindhuli,442,937,498,378,238,674,163,356,313,469,704,749,284,234,419,504,915,141,311,166,374,67,596,307,387,433,783,243,598,369,145,602,0,395,524,343,457,540
Tansen,199,620,407,61,557,357,284,39,632,378,387,432,603,553,328,413,598,460,220,229,580,386,505,626,296,116,466,152,281,126,464,285,395,0,843,662,366,223
Taplejung,890,1385,946,843,334,1122,611,804,245,917,1152,1197,380,330,717,952,1363,439,759,614,150,495,1044,239,835,881,1231,691,1046,817,377,1050,524,843,0,439,905,988
Terhathum,709,1228,765,645,153,941,430,623,228,736,971,1016,59,109,686,771,1182,258,578,433,289,314,863,222,654,700,1050,510,865,636,196,869,343,662,439,0,724,807
Trishuli Bazar,341,908,181,349,619,645,346,327,694,152,675,720,665,615,102,47,886,522,210,291,755,448,279,688,70,404,754,214,569,268,526,573,457,366,905,724,0,511
Tulsipur,496,457,552,206,702,194,429,184,777,523,224,269,748,698,473,558,435,605,365,374,838,531,650,771,441,147,303,297,118,423,609,62,540,223,988,807,511,0
